--- Overall Exp ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2008;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2009;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2010;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2011;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2012;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2013;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2014;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2015;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2016;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
2017;9.548874766601557;9.419311162513651;9.32870723717093;9.363768505115155;9.457576160569618;9.472950759998941;9.587786591566822;9.359647914151378;9.370141912715145;9.39759971779976;9.560808493382787;9.385055573658185;9.385402308040877;9.34123266022624;9.494887535732476;9.376532546840254;9.454907197413092;9.462865622471474;9.37128846836138;9.434381120688412;9.46798428231183;9.49949336209796;9.36029024073883;9.476364852748649;9.53516503824778;9.41914967710724;9.521187060958423;9.475359570523619
